branch_id,parent_branch_id,topological_order,strahler_order,start_node,end_node,path_nodes,base_height,tip_height,length,chord_length,tortuosity,horizontal_projection,vertical_rise,inclination_from_vertical_deg,elevation_deg,azimuth_deg,parent_angle_deg,radius_start,radius_end,diameter_start,diameter_end,taper_rate,volume,surface_area,slenderness
0,-1,0,4,3086,2998,3086;3085;3084;3083;3082;3081;3080;3079;3078;3077;3076;3075;3074;3073;3072;3071;3070;1250;1249;1248;1247;1246;1245;1244;1243;1242;1241;1240;1239;1238;1237;1236;1235;1234;1233;1232;1231;1230;1229;1228;1227;1226;1225;1224;3016;3015;3014;3013;3012;3011;3010;3009;3008;3007;3006;3005;3004;3003;3002;3001;3000;2999;2998,0.0001781767,0.4205886408,0.4348241075,0.4242515428,1.0249205098,0.0569597516,0.4204104640,7.7157959510,82.2842040490,94.8093325909,nan,0.0560802977,0.0560802977,0.1121605955,0.1121605955,0.0000000000,0.0042961962,0.1532158848,3.8767992057
1,0,1,1,2998,288,2998;469;468;467;466;465;464;463;462;461;460;459;458;457;456;455;454;453;452;451;450;449;448;447;446;445;444;443;2697;2696;2695;2694;2693;2692;2691;2690;2689;2688;2687;2686;2685;2684;2683;2682;2681;2680;2679;2678;2677;2676;2675;2674;2673;2672;2671;2670;2669;2668;2667;2666;2665;1094;1093;1092;1091;1090;1089;1088;1087;1086;1085;1084;1083;1082;1081;1080;1079;1078;1077;1076;1075;1074;1073;1072;1071;1070;1069;1068;1067;1066;1065;1064;1063;1062;2763;2762;2761;2760;2759;2758;2757;2756;2755;2754;2753;2752;2751;2750;2749;2748;2747;2746;2745;2744;2743;2742;2741;2740;2739;2738;2737;2736;2735;2734;2733;2732;2731;259;258;257;256;255;254;253;252;251;250;249;248;247;246;245;244;243;242;241;240;239;238;237;236;235;234;233;232;231;230;229;228;227;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960;1959;1958;1957;1956;1955;1954;1953;1952;1951;799;798;797;796;795;794;793;792;791;790;789;788;787;786;785;784;783;782;781;780;779;778;777;776;775;774;773;772;771;770;769;768;767;2214;2213;2212;2211;2210;2209;2208;2207;2206;2205;2204;2203;2202;2201;2200;2199;2198;2197;2196;2195;2194;2193;2192;2191;2190;2189;2188;2187;2186;2185;2184;2183;2182;320;319;318;317;316;315;314;313;312;311;310;309;308;307;306;305;304;303;302;301;300;299;298;297;296;295;294;293;292;291;290;289;288,0.4205886408,0.9625274112,1.5249360815,1.3752164225,1.1088698888,1.2639313976,0.5419387704,66.7916870778,23.2083129222,82.2464903464,59.2730074066,0.1622004737,0.0921532503,0.3244009475,0.1843065007,0.0459345308,0.0794438695,1.2198243758,4.7007756706
2,0,1,4,2998,3028,2998;2997;2996;2995;2994;2993;2992;3042;3041;3040;3039;3038;3037;3036;3035;3034;3033;3032;3031;3030;3029;3028,0.4205886408,0.5339083372,0.1253092769,0.1154596277,1.0853081670,0.0221262745,0.1133196964,11.0483016561,78.9516983439,223.4291218226,16.9575191934,0.1019429834,0.1019429834,0.2038859668,0.2038859668,0.0000000000,0.0040911723,0.0802639320,0.6146047167
3,2,2,4,3028,1913,3028;1913,0.5339083372,0.5360084918,0.0098315878,0.0098315878,1.0000000000,0.0096046587,0.0021001546,77.6658346326,12.3341653674,88.6407573606,85.5399469428,0.1798058467,0.1798058467,0.3596116934,0.3596116934,0.0000000000,0.0009985761,0.0111072703,0.0273394552
4,2,2,2,3028,3020,3028;3027;3026;3025;3024;3023;3022;3021;3020,0.5339083372,0.5789093475,0.0818708615,0.0738194584,1.1090688460,0.0585168481,0.0450010103,52.4387595421,37.5612404579,235.3821424611,41.6750812318,0.1672270812,0.1672270812,0.3344541625,0.3344541625,0.0000000000,0.0071927084,0.0860232484,0.2447894830
5,3,3,3,1913,2507,1913;1521;1522;1523;1524;1525;1526;1527;1528;1529;1530;1531;1532;1533;1534;1535;1536;1537;1538;1539;1540;1541;1542;1543;1544;1545;1546;1547;1548;1549;1550;1551;1552;1553;1554;1555;1556;1557;1558;1559;1560;1561;2181;2180;2179;2178;2177;2176;2175;2174;2173;2172;2171;2170;2169;2168;2167;2166;2165;2164;2163;2162;2161;2160;2159;2158;2157;2156;2155;2154;2153;2152;2151;2150;740;739;738;737;736;735;734;733;732;731;730;729;728;727;726;725;724;723;722;721;720;719;718;717;716;715;714;713;712;711;710;709;708;2536;2535;2534;2533;2532;2531;2530;2529;2528;2527;2526;2525;2524;2523;2522;2521;2520;2519;2518;2517;2516;2515;2514;2513;2512;2511;2510;2509;2508;2507,0.5360084918,0.5430192684,0.7618199521,0.5285605827,1.4413105650,0.5285140855,0.0070107766,89.2400120167,0.7599879833,237.6194805904,146.5418339851,0.1587858343,0.1019875161,0.3175716685,0.2039750321,0.0745560917,0.0413316311,0.6258483574,2.3988914237
6,3,3,3,1913,2600,1913;1912;1911;1910;1909;1908;1907;1906;1905;1904;1903;1902;1901;1900;1899;1898;1897;1896;1895;1894;1893;1892;1891;1890;1889;1888;1887;1886;1885;1884;2600,0.5360084918,0.7120431777,0.1883761994,0.1822847491,1.0334172243,0.0473235577,0.1760346859,15.0471220292,74.9528779708,85.5811173614,62.6420379562,0.1109244948,0.1109244948,0.2218489897,0.2218489897,0.0000000000,0.0072816671,0.1312905170,0.8491190321
7,4,3,2,3020,434,3020;2865;2864;2863;2862;2861;2860;2859;2858;2857;2856;2855;2854;2853;2852;2851;2850;2849;2848;2847;2846;2845;2844;2843;2842;2841;2840;2839;2838;2837;2836;2835;2834;2833;1223;1222;1221;1220;1219;1218;1217;1216;1215;1214;1213;1212;1211;1210;1209;1208;1207;1206;1205;1204;1203;1202;1201;1200;1199;1198;1197;1196;1195;1194;3069;3068;3067;3066;3065;3064;3063;3062;3061;3060;3059;3058;3057;3056;3055;3054;3053;3052;3051;3050;3049;3048;3047;3046;3045;3044;3043;442;441;440;439;438;437;436;435;434,0.5789093475,0.7339004657,0.5745559764,0.5290283406,1.0860589731,0.5058149251,0.1549911182,72.9639595698,17.0360404302,187.7024696224,46.4579380950,0.2014381955,0.0642285916,0.4028763911,0.1284571832,0.2388098107,0.0346809183,0.4930184424,1.4261346384
8,4,3,1,3020,994,3020;3019;3018;3017;1663;1662;1661;1660;1659;1658;1657;1656;1655;1654;1653;1652;1651;1650;1649;1648;1647;1646;1645;1644;1643;1642;1641;1640;1639;1638;1637;1636;1635;1634;1633;1632;1631;1630;1629;198;197;196;195;194;193;192;191;190;189;188;187;186;185;184;183;182;181;180;179;178;177;176;175;174;173;172;171;170;169;168;167;166;2571;2570;2569;2568;2567;2566;2565;2564;2563;2562;2561;2560;2559;2558;2557;2556;2555;2554;2553;2552;2551;2550;2549;2548;2547;2546;2545;2544;2543;2542;2541;2540;2539;2538;2537;1026;1025;1024;1023;1022;1021;1020;1019;1018;1017;1016;1015;1014;1013;1012;1011;1010;1009;1008;1007;1006;1005;1004;1003;1002;1001;1000;999;998;997;996;995;994,0.5789093475,0.7606350995,0.8138808755,0.7367247302,1.1047285941,0.7139601383,0.1817257520,75.7196244709,14.2803755291,277.3627216472,43.8269614167,0.2041764823,0.2041764823,0.4083529645,0.4083529645,0.0000000000,0.1065913961,1.0441104179,1.9930818339
9,5,4,2,2507,1705,2507;1705,0.5430192684,0.5193747309,0.0444903067,0.0444903067,1.0000000000,0.0376871760,-0.0236445376,122.1037273435,-32.1037273435,157.1438682908,82.3510104488,0.1678123317,0.1678123317,0.3356246634,0.3356246634,0.0000000000,0.0039360718,0.0469104004,0.1325597060
