x,y,z
0.0017920571,-0.6427083802,2.4138072542
0.3884748309,0.8533404988,1.5851534694
-0.6051284258,-1.2028698529,0.6708019091
0.8852721821,-0.2341723355,1.1976848485
-0.8019206317,-0.0797619219,1.1733661196
-0.0590799962,-0.4310158227,0.7224452749
-0.0312147963,0.0538959705,1.7455890889
0.2868549676,0.5955593773,0.6947264514
-0.0802934814,-0.8851121054,1.7228290863
0.1956210752,1.2314724969,0.9322500574
0.0895829515,0.0184927810,2.4521966760
-0.0380503097,0.0858501426,1.1029694259
0.3320024080,-0.8786001889,0.8658335972
-0.5462361026,-0.1278544156,0.7142175839
0.0959394828,0.0492633042,0.4669851454
0.4601119458,-0.0280150872,1.2893160302
-0.3333863103,-0.7747039365,0.8774044590
0.2425563785,0.4460348945,1.3670098384
0.1638172469,0.3279201449,2.0663769442
-0.0752942885,-0.4295744686,1.6838006425
-0.0414308848,-0.2784509499,2.1733083864
-0.4247999126,-0.0594502073,1.0812982835
-0.1896950526,-0.2025830591,0.4689362643
0.2660138091,0.3087194309,0.9070271011
0.3132042921,0.9188211693,0.8215187669
-0.3225467299,-0.5356917655,0.6076114183
0.2374388572,-0.5712021181,0.9303869061
-0.0002079078,-0.0703184442,0.7521762202
0.3449622272,0.9862412427,1.8497138947
0.0083652647,0.0022894909,1.4179979940
0.0019470162,0.0638592962,2.0742429531
0.0674275386,-0.7084285602,0.7588521561
0.2983659085,0.5265278823,1.1049828388
0.1980612483,0.2847727386,0.6094298241
-0.7258506590,-0.2178403917,0.8214084576
0.2196853760,0.6720725474,1.5010164108
-0.4255498998,-1.0254080320,0.7647882752
-0.2678345994,-0.0561867407,0.6930741336
-0.0039604374,-0.0050641217,0.2312498562
0.6682154463,-0.0724166336,1.2501308422
0.0293435270,0.2411558036,1.2739446032
-0.0604270685,-0.4495419292,2.2601899648
0.1954318035,0.0271414649,1.2505341714
0.1315441117,0.1646194495,0.8706626583
0.1557663136,0.4799639166,0.9725008000
-0.0756030547,-0.2188637665,1.6712979954
-0.0886023046,-0.7246462997,1.7045819371
-0.0849425044,0.0682331014,0.4164618309
0.0550060423,-0.2500607048,0.8580862400
-0.5596077599,-0.0146450351,0.8180015293
-0.0398484931,-0.2482076832,0.6061665794
0.0577059377,0.0234039200,2.2809880554
-0.3533115803,-0.3888023090,0.5017818607
0.0582286895,0.2569442099,1.0834765934
-0.2687586714,-0.6996276252,0.7793475895
0.0050168150,0.0710688906,1.5295850084
-0.7148509650,-0.0086793467,1.0560209174
-0.7041259908,-0.1931956971,0.7100107085
-0.0152366376,0.0589469517,0.6077570693
-0.2179005938,-0.0133531499,1.0669950264
0.3562510683,0.7624806892,0.7345521476
0.2391429315,-0.7615853541,0.8681584618
-0.0273850794,-0.1070888256,2.0463190855
0.0762813096,0.1849030014,2.0565738384
0.4023127606,0.9189572085,1.7311431870
-0.0187280581,0.0867545131,1.2719833486
-0.1183619872,-0.0554555275,0.3867818167
0.2478017048,1.1024471147,0.8818404436
-0.2780325770,-0.8582289500,0.7975000351
-0.0160934878,0.0635119383,1.9372383111
-0.0089840189,0.0620095557,0.9443933387
-0.9459431882,-0.1237729624,1.1990420375
0.1511589837,-0.4254461771,0.9227434000
0.2833172389,0.5839664670,1.4579268506
-0.0508743622,0.0281781459,1.4644059288
0.3527050198,0.7474921523,1.5747875832
-0.6423399340,-0.0677777316,1.0981392641
-0.2377235188,-0.3543709338,0.5211107955
0.0478167912,-0.6035379489,0.7308030017
-0.0081237306,0.0709495464,0.7813486105
0.2803215240,0.4453741972,0.9994184112
-0.0257506475,-0.5744662232,2.3157286373
0.1499774289,0.1556489195,0.5513263852
0.1427044719,0.3396830269,1.3073290558
0.2507524646,0.4337085574,0.6620876417
-0.0400112939,0.0061113266,1.6175996938
0.0216693954,0.0443155520,1.1787002484
0.1032673314,-0.7860795204,0.8944254682
-0.1197623699,-0.0066673230,0.6329690049
0.3117378591,0.0095533619,1.2956055812
-0.0839079318,-0.5741405983,1.7305914122
-0.5416376502,-1.1198725245,0.6929874012
0.8239121679,-0.1429631301,1.1905743047
-0.0027724850,0.0263592705,0.3702039449
-0.0098677005,-0.0321281977,0.5202550178
-0.3987778698,-0.1025482481,0.6994456463
0.0189162036,-0.0156261458,0.0491067415
