x,y,z
0.0193405666,-0.6630857855,2.4542047874
0.0186338253,-0.6619205439,2.4520383485
0.0179064874,-0.6607759351,2.4498686732
0.0171475662,-0.6596669095,2.4476922213
0.0163578856,-0.6585937314,2.4455089585
0.0155390442,-0.6575492326,2.4433224921
0.0146899840,-0.6565244363,2.4411383591
0.0138084016,-0.6555107062,2.4389623366
0.0128929588,-0.6545003200,2.4367992405
0.0119447165,-0.6534867034,2.4346521861
0.0109675800,-0.6524646664,2.4325222571
0.0099680192,-0.6514305957,2.4304085216
0.0089543905,-0.6503825143,2.4283082993
0.0079361015,-0.6493199700,2.4262175566
0.0069227466,-0.6482437208,2.4241312839
0.0059232669,-0.6471551610,2.4220436676
0.0049451430,-0.6460553889,2.4199478185
0.0039936197,-0.6449438301,2.4178348199
0.0030709673,-0.6438164228,2.4156919894
0.0021758310,-0.6426635678,2.4135005570
0.0013027784,-0.6414682993,2.4112333704
0.0004422192,-0.6402053335,2.4088535918
-0.0004191191,-0.6388416709,2.4063154256
-0.0012970447,-0.6373391744,2.4035675788
-0.0022081170,-0.6356590624,2.4005594456
-0.0031674441,-0.6337676665,2.3972491364
-0.0041864314,-0.6316423364,2.3936117592
-0.0052709184,-0.6292762009,2.3896460800
-0.0064200766,-0.6266806913,2.3853779600
-0.0076262816,-0.6238852378,2.3808596938
-0.0088759594,-0.6209342029,2.3761653261
-0.0101512033,-0.6178817083,2.3713828960
0.4039463142,0.8870832736,1.6662370837
0.4030881154,0.8837283543,1.6610171573
0.4021354746,0.8804054906,1.6559105623
0.4011099913,0.8771592366,1.6509434771
0.4000336262,0.8740296477,1.6461356948
0.3989277792,0.8710506346,1.6415004747
0.3978124498,0.8682486694,1.6370449734
0.3967055178,0.8656418640,1.6327711622
0.3956221691,0.8632394221,1.6286770982
0.3945744807,0.8610414483,1.6247583921
0.3935711714,0.8590390904,1.6210097117
0.3926175146,0.8572149879,1.6174261728
0.3917154036,0.8555440022,1.6140044894
0.3908635556,0.8539942027,1.6107437911
0.3900578330,0.8525280842,1.6076460509
0.3892916595,0.8511039842,1.6047161044
0.3885565040,0.8496776653,1.6019612770
0.3878424042,0.8482040104,1.5993906713
0.3871385012,0.8466387730,1.5970141864
0.3864335591,0.8449403076,1.5948413669
0.3857164439,0.8430712004,1.5928801833
0.3849765438,0.8409997158,1.5911358537
0.3842041141,0.8387009796,1.5896098046
0.3833905402,0.8361578274,1.5882988593
0.3825285136,0.8333612694,1.5871947155
0.3816121252,0.8303105425,1.5862837547
0.3806368797,0.8270127491,1.5855471893
0.3795996438,0.8234821088,1.5849615319
0.3784985372,0.8197388767,1.5844993406
0.3773327804,0.8158079993,1.5841301750
-0.6267069627,-1.2352367114,0.6730560632
-0.6259575731,-1.2334663672,0.6725996575
-0.6251751326,-1.2317086585,0.6721583293
-0.6243322296,-1.2299748073,0.6717471542
-0.6234209488,-1.2282694642,0.6713741001
-0.6224433090,-1.2265940281,0.6710426012
-0.6214042077,-1.2249489165,0.6707539208
-0.6203093536,-1.2233338396,0.6705081067
-0.6191656318,-1.2217470927,0.6703044845
-0.6179819658,-1.2201847961,0.6701421830
-0.6167696380,-1.2186406880,0.6700206508
-0.6155417221,-1.2171066785,0.6699399489
-0.6143117998,-1.2155739797,0.6699007150
-0.6130924406,-1.2140343995,0.6699038521
-0.6118939390,-1.2124813831,0.6699500927
-0.6107236214,-1.2109105600,0.6700395941
-0.6095857663,-1.2093197735,0.6701716611
-0.6084819823,-1.2077087285,0.6703446256
-0.6074118026,-1.2060784600,0.6705558647
-0.6063732839,-1.2044307913,0.6708019164
-0.6053634768,-1.2027678826,0.6710786579
-0.6043787242,-1.2010918848,0.6713815192
-0.6034147909,-1.1994046583,0.6717057184
-0.6024668471,-1.1977074857,0.6720465100
-0.6015293146,-1.1960007191,0.6723994356
-0.6005955789,-1.1942833311,0.6727605683
-0.5996575844,-1.1925523978,0.6731267321
-0.5987053705,-1.1908025968,0.6734956815
-0.5977266628,-1.1890258578,0.6738662178
-0.5967066809,-1.1872113228,0.6742382263
-0.5956283340,-1.1853457553,0.6746126190
-0.5944729301,-1.1834144728,0.6749911817
-0.5932214311,-1.1814027695,0.6753763335
-0.5918561540,-1.1792976817,0.6757708280
-0.5903626964,-1.1770898443,0.6761774321
-0.5887317816,-1.1747751333,0.6765986323
-0.5869607000,-1.1723558028,0.6770364096
-0.5850540829,-1.1698408980,0.6774921208
-0.5830238599,-1.1672458539,0.6779664976
-0.5808883986,-1.1645913304,0.6784597593
-0.5786709633,-1.1619014640,0.6789718114
0.9088857853,-0.2617724635,1.2003292479
0.9075713604,-0.2604111402,1.1999141486
0.9061663632,-0.2590242090,1.1995835629
0.9047298033,-0.2576185506,1.1993299796
0.9032840475,-0.2561988508,1.1991402726
0.9018401851,-0.2547661391,1.1989980016
0.9004065115,-0.2533182742,1.1988869978
0.8989904130,-0.2518515325,1.1987938042
0.8975982582,-0.2503621132,1.1987085150
0.8962350606,-0.2488470437,1.1986245680
0.8949043649,-0.2473045061,1.1985381274
0.8936083435,-0.2457337961,1.1984474487
0.8923480032,-0.2441350945,1.1983523598
0.8911234088,-0.2425091318,1.1982538424
0.8899338182,-0.2408567242,1.1981536392
0.8887775825,-0.2391780695,1.1980538101
0.8876516461,-0.2374716393,1.1979561900
0.8865505407,-0.2357325461,1.1978617422
0.8854649329,-0.2339504512,1.1977698563
0.8843800304,-0.2321074011,1.1976777046
0.8832743868,-0.2301763242,1.1975798317
0.8821197398,-0.2281210844,1.1974681637
0.8808823861,-0.2258988182,1.1973325740
0.8795262306,-0.2234647406,1.1971620199
0.8780171489,-0.2207788456,1.1969461024
0.8763278571,-0.2178132288,1.1966767601
0.8744422443,-0.2145583955,1.1963497421
0.8723582026,-0.2110270449,1.1959655412
0.8700883390,-0.2072543947,1.1955295972
0.8676584662,-0.2032949399,1.1950517562
0.8651042701,-0.1992163479,1.1945451420
-0.8888876643,-0.1055904576,1.1888188272
-0.8826776005,-0.1034706608,1.1876892492
-0.8765581806,-0.1013831255,1.1865832321
-0.8706091231,-0.0993619156,1.1855191852
-0.8648877075,-0.0974333136,1.1845099501
-0.8594281001,-0.0956151657,1.1835618686
-0.8542432869,-0.0939172089,1.1826745187
-0.8493287544,-0.0923421084,1.1818410408
-0.8446669964,-0.0908868964,1.1810489299
-0.8402320268,-0.0895445342,1.1802811427
-0.8359932869,-0.0883053837,1.1795173743
-0.8319185861,-0.0871584528,1.1787353660
-0.8279759488,-0.0860923535,1.1779121369
-0.8241344345,-0.0850959730,1.1770250572
-0.8203641335,-0.0841588949,1.1760527164
-0.8166356227,-0.0832716298,1.1749755703
-0.8129191904,-0.0824257179,1.1737763835
-0.8091841337,-0.0816137609,1.1724405080
-0.8053983800,-0.0808294267,1.1709560533
-0.8015286192,-0.0800674570,1.1693140098
-0.7975410403,-0.0793236910,1.1675083781
-0.7934026681,-0.0785951054,1.1655363394
-0.7890831983,-0.0778798619,1.1633984734
-0.7845571393,-0.0771773439,1.1610990042
-0.7798060094,-0.0764881625,1.1586460285
-0.7748203059,-0.0758141110,1.1560516620
-0.7696009771,-0.0751580542,1.1533320385
-0.7641601739,-0.0745237421,1.1505071054
-0.7585211434,-0.0739155496,1.1476001811
-0.7527172296,-0.0733381534,1.1446372701
-0.7467900535,-0.0727961655,1.1416461659
-0.7407870418,-0.0722937508,1.1386554020
-0.0284246050,-0.5313748059,0.7376344853
-0.0321703471,-0.5258355973,0.7382903485
-0.0357399408,-0.5202485621,0.7388359007
-0.0390988735,-0.5146542012,0.7392470446
-0.0422181745,-0.5090881790,0.7395030457
-0.0450756090,-0.5035799830,0.7395871501
-0.0476563519,-0.4981521853,0.7394868889
-0.0499531389,-0.4928202702,0.7391940664
-0.0519659413,-0.4875929339,0.7387044627
-0.0537012459,-0.4824727232,0.7380173046
